Symbol
CDW
LDOS
IEX
TMUS
MKTX
AMCR
BMS
DD
CTVA
DOW
FOXA
FOX
WAB
ATO
TFX
FRC
CE
LW
MXIM
FANG
JKHY
KEYS
FTNT
ROL
WCG
ANET
CPRT
FLT
BR
HFC
TWTR
EVRG
ABMD
MSCI
TTWO
SIVB
NKTR
IPGP
HII
NCLH
CDNS
DWDP
SBAC
Q
BHF
DRE
AOS
PKG
RMD
MGM
BKR
HLT
ALGN
ANSS
RE
INFO
IT
DXC
AMD
RJF
ARE
SNPS
DISH
REG
CBOE
INCY
IDXX
MAA
EVHC
ARNC
COTY
COO
CHTR
MTD
FTV
LNT
ALB
FBHS
TDG
AJG
LKQ
DLR
ALK
AYI
GPN
ULTA
UA
FL
HOLX
CNC
UDR
AWK
CXO
CFG
FRT
EXR
WLTW
CHD

CSRA
ILMN
SYF
HPE
VRSK
CMCSK
FOX
NWS
UAL
ATVI
SIG
PYPL
AAP
KHC
CPGX
JBHT
BXLT
QRVO
O
AAL
EQIX
SLG
HBI
HSIC
SWKS
HCA
ENDP
RCL
LVLT
URI
UHS
MNK
DISCK
MLM
AMG
XEC
AVGO
UA
NAVI
GOOGL
ESS
GMCR
TSCO
ADS
MHK
FB
GGP
ALLE
KORS
RIG
VRTX
AME
DAL
NLSN
NWSA
ZTS
GM
KSU
MAC
REGN
PVH
ABBV
DLPH
GRMN
DG
PETM
KRFT
MDLZ
ADT
PNR
LYB
ESV
STX
MNST
LRCX
ALXN
KMI
PSX
FOSL
CCI
WPX
TRIP
BWA
PRGO
DLTR
GAS
CBE
XYL
TEL
MOS
ACN
MPC
ANR
CMG
BLK
EW
COV
JOYG
MMI
CVC
FFIV
NFLX
NFX
IR
TYC
CB
QEP
KMX
CERN
HP
V
MJN
CLF
SAI
ROST
PCLN
ARG
FMC
PCS

FTI
HRL
VTR
OI
HRS
CRM
FAST
AKS
COG
MEE
LO
RRC
GME
JEC
EXPE
TDC
TSO
ICE
LUK
DFS
KFT
AVB
JNPR
AMZN
STZ
ESRX
INTU
SBL
AYE
ABK
JDSU
CVG
SBUX
YHOO
WLP
ACT
FSR
CCL
CPWR
CCI
NCC
BUD
DIS
